CpG,Module,Strategy
cg10298052,1,median
cg10300684,1,median
cg10303487,1,median
cg10329173,1,median
cg10334354,1,median
cg10343742,1,median
cg10363951,1,median
cg10373086,1,median
cg10373196,1,median
cg10387551,1,median
cg10410142,1,median
cg10453719,1,median
cg10471976,1,median
cg10477621,1,median
cg10479082,1,median
cg10485664,1,median
cg10501704,1,median
cg10511904,1,median
cg10520887,1,median
cg10521638,1,median
cg10530851,1,median
cg10530883,1,median
cg10539507,1,median
cg10552126,1,median
cg10567810,1,median
cg10575261,1,median
cg10591607,1,median
cg10602282,1,median
cg10603275,1,median
cg10621825,1,median
cg10658542,1,median
cg10659886,1,median
cg10676084,1,median
cg10694152,1,median
cg10715223,1,median
cg10722226,1,median
cg10740902,1,median
cg10770187,1,median
cg10791926,1,median
cg10805352,1,median
cg10816489,1,median
cg10823473,1,median
cg10827488,1,median
cg10828337,1,median
cg10836392,1,median
cg10868817,1,median
cg10894483,1,median
cg10904109,1,median
cg10906284,1,median
cg10912240,1,median
cg10943359,1,median
cg10945079,1,median
cg10961186,1,median
cg10964367,1,median
cg10966580,1,median
cg10967350,1,median
cg10989634,1,median
cg10999932,1,median
cg11002986,1,median
cg11011938,1,median
cg11025705,1,median
cg11051843,1,median
cg11063729,1,median
cg11068946,1,median
cg11080643,1,median
cg11086982,1,median
cg11095383,1,median
cg11097433,1,median
cg11097541,1,median
cg11108269,1,median
cg11113723,1,median
cg11148130,1,median
cg11163620,1,median
cg11190248,1,median
cg11199046,1,median
cg11199713,1,median
cg11201710,1,median
cg11215976,1,median
cg11226913,1,median
cg11229543,1,median
cg11234328,1,median
cg11236526,1,median
cg11254700,1,median
cg11260097,1,median
cg11268739,1,median
cg11280525,1,median
cg11293190,1,median
cg11312408,1,median
cg11323198,1,median
cg11342106,1,median
cg11344566,1,median
cg11353250,1,median
cg11358945,1,median
cg11377136,1,median
cg11381539,1,median
cg11410023,1,median
cg11413039,1,median
cg11428724,1,median
cg11438011,1,median
cg11452391,1,median
cg11460727,1,median
cg11469098,1,median
cg11546137,1,median
cg11563680,1,median
cg11574975,1,median
cg11581706,1,median
cg11592503,1,median
cg11642106,1,median
cg11651237,1,median
cg11687330,1,median
cg11701471,1,median
cg11705975,1,median
cg11711420,1,median
cg11722699,1,median
cg11723801,1,median
cg11727383,1,median
cg11743349,1,median
cg11760593,1,median
cg11793269,1,median
cg11811610,1,median
cg11823511,1,median
cg11831238,1,median
cg11832722,1,median
cg11846112,1,median
cg11868900,1,median
cg11869770,1,median
cg11871421,1,median
cg11885396,1,median
cg11896587,1,median
cg11905007,1,median
cg11907729,1,median
cg11926610,1,median
cg11931116,1,median
cg11934695,1,median
cg11935147,1,median
cg11965370,1,median
cg11982293,1,median
cg12002303,1,median
cg12007399,1,median
cg12025310,1,median
cg12043818,1,median
cg12052661,1,median
cg12075720,1,median
cg12087643,1,median
cg12089570,1,median
cg12122146,1,median
cg12161228,1,median
cg12163490,1,median
cg12164282,1,median
cg12166610,1,median
cg12172057,1,median
cg12188986,1,median
cg12200038,1,median
cg12204732,1,median
cg12212311,1,median
cg12215340,1,median
cg12246510,1,median
cg12250496,1,median
cg12258042,1,median
cg12258161,1,median
cg12268575,1,median
cg12296605,1,median
cg12296772,1,median
cg12300353,1,median
cg12315713,1,median
cg12325536,1,median
cg12338417,1,median
cg12348202,1,median
cg12373084,1,median
cg12382398,1,median
cg12453631,1,median
cg12454814,1,median
cg12457773,1,median
cg12475507,1,median
cg12483476,1,median
cg12497564,1,median
cg12506971,1,median
cg12508451,1,median
cg12513880,1,median
cg12535280,1,median
cg12544191,1,median
cg12560987,1,median
cg12563178,1,median
cg12595013,1,median
cg12597389,1,median
cg12627071,1,median
cg12630082,1,median
cg12638731,1,median
cg12645220,1,median
cg12664209,1,median
cg12670347,1,median
cg12682684,1,median
cg12685846,1,median
cg12698487,1,median
cg12764034,1,median
cg12807794,1,median
cg12816961,1,median
cg12818557,1,median
cg12828075,1,median
cg12832313,1,median
cg12833207,1,median
cg12843518,1,median
cg12844784,1,median
cg12847240,1,median
cg12852499,1,median
cg12868305,1,median
cg12877723,1,median
cg12894649,1,median
cg12908187,1,median
cg12921750,1,median
cg12926938,1,median
cg12940822,1,median
cg12951849,1,median
cg12969644,1,median
cg12988534,1,median
cg12995800,1,median
cg12997720,1,median
cg13000912,1,median
cg13016408,1,median
cg13016524,1,median
cg13021841,1,median
cg13063344,1,median
cg13078140,1,median
cg13136510,1,median
cg13153190,1,median
cg13176012,1,median
cg13193239,1,median
cg13222752,1,median
cg13246235,1,median
cg13255216,1,median
cg13272546,1,median
cg13279673,1,median
cg13300273,1,median
cg13314145,1,median
cg13321967,1,median
cg13327545,1,median
cg13344169,1,median
cg13347071,1,median
cg13358636,1,median
cg13359415,1,median
cg13405783,1,median
cg13407975,1,median
cg13425391,1,median
cg13434842,1,median
cg13441730,1,median
cg13445796,1,median
cg13448605,1,median
cg13448753,1,median
cg13460643,1,median
cg13464915,1,median
cg13481638,1,median
cg13488201,1,median
cg13514230,1,median
cg13539545,1,median
cg13561879,1,median
cg13566648,1,median
cg13570972,1,median
cg13582816,1,median
cg13596497,1,median
cg13606569,1,median
cg13623495,1,median
cg13632816,1,median
cg13633270,1,median
cg13633497,1,median
cg13637654,1,median
cg13644317,1,median
cg13653144,1,median
cg13654588,1,median
cg13683040,1,median
cg13688769,1,median
cg13721404,1,median
cg13745201,1,median
cg13755795,1,median
cg13779907,1,median
cg13781843,1,median
cg13784792,1,median
cg13786089,1,median
cg13790603,1,median
cg13822303,1,median
cg13829550,1,median
cg13855568,1,median
cg13882284,1,median
cg13887205,1,median
cg13895765,1,median
cg13904970,1,median
cg13913012,1,median
cg13914083,1,median
cg13929328,1,median
cg13933080,1,median
cg13944175,1,median
cg13954457,1,median
cg13964092,1,median
cg13974632,1,median
cg13985784,1,median
cg14006181,1,median
cg14009098,1,median
cg14015441,1,median
cg14051544,1,median
cg14056357,1,median
cg14060111,1,median
cg14065115,1,median
cg14068328,1,median
cg14080967,1,median
cg14092045,1,median
cg14095438,1,median
cg14134497,1,median
cg14155416,1,median
cg14156405,1,median
cg14156751,1,median
cg14225485,1,median
cg14246617,1,median
cg14265823,1,median
cg14270292,1,median
cg14273450,1,median
cg14305313,1,median
cg14312538,1,median
cg14317285,1,median
cg14319235,1,median
cg14323675,1,median
cg14326196,1,median
cg14335275,1,median
cg14338425,1,median
cg14345012,1,median
cg14347199,1,median
cg14352983,1,median
cg14354327,1,median
cg14356396,1,median
cg14405924,1,median
cg14410016,1,median
cg14412322,1,median
cg14424407,1,median
cg14425564,1,median
cg14427009,1,median
cg14451382,1,median
cg14473102,1,median
cg14473145,1,median
cg14473924,1,median
cg14475702,1,median
cg14502484,1,median
cg14511946,1,median
cg14512563,1,median
cg14515453,1,median
cg14556683,1,median
cg14568830,1,median
cg14571552,1,median
cg14603345,1,median
cg14604568,1,median
cg14615336,1,median
cg14621053,1,median
cg14631386,1,median
cg14631834,1,median
cg14658067,1,median
cg14658804,1,median
cg14676407,1,median
cg14699728,1,median
cg14719951,1,median
cg14730445,1,median
cg14750948,1,median
cg14772925,1,median
cg14780632,1,median
cg14809204,1,median
cg14823851,1,median
cg14832406,1,median
cg14834938,1,median
cg14836602,1,median
cg14848594,1,median
cg14866863,1,median
cg14875171,1,median
cg14907769,1,median
cg14923640,1,median
cg14941291,1,median
cg14951598,1,median
cg14959729,1,median
cg14971895,1,median
cg15007156,1,median
cg15044957,1,median
cg15045441,1,median
cg15056556,1,median
cg15061530,1,median
cg15084543,1,median
cg15092343,1,median
cg15123984,1,median
cg15133719,1,median
cg15168727,1,median
cg15180867,1,median
cg15195276,1,median
cg15222899,1,median
cg15229481,1,median
cg15254559,1,median
cg15310492,1,median
cg15335436,1,median
cg15341124,1,median
cg15370180,1,median
cg15379354,1,median
cg15382538,1,median
cg15385623,1,median
cg15397374,1,median
cg15412102,1,median
cg15416877,1,median
cg15425280,1,median
cg15426956,1,median
cg15427886,1,median
cg15439862,1,median
cg15447787,1,median
cg15449956,1,median
cg15452970,1,median
cg15476523,1,median
cg15485728,1,median
cg15529692,1,median
cg15538070,1,median
cg15543566,1,median
cg15562220,1,median
cg15594967,1,median
cg15600488,1,median
cg15602241,1,median
cg15611413,1,median
cg15639592,1,median
cg15653173,1,median
cg15703632,1,median
cg15709235,1,median
cg15712559,1,median
cg15718066,1,median
cg15731815,1,median
cg15745900,1,median
cg15785868,1,median
cg15789607,1,median
cg15818307,1,median
cg15834072,1,median
cg15843567,1,median
cg15852516,1,median
cg15861585,1,median
cg15868105,1,median
cg15873320,1,median
cg15887709,1,median
cg15892784,1,median
cg15895690,1,median
cg15909981,1,median
cg15912800,1,median
cg15914463,1,median
cg15916004,1,median
cg15916399,1,median
cg15916646,1,median
cg15927720,1,median
cg15953602,1,median
cg15957055,1,median
cg15979173,1,median
cg15984718,1,median
cg15989068,1,median
cg16005494,1,median
cg16026922,1,median
cg16043357,1,median
cg16046561,1,median
cg16061498,1,median
cg16065021,1,median
cg16065186,1,median
cg16072688,1,median
cg16081281,1,median
cg16085531,1,median
cg16086620,1,median
cg16099804,1,median
cg16179952,1,median
cg16184803,1,median
cg16198315,1,median
cg16209664,1,median
cg16219603,1,median
cg16226962,1,median
cg16232126,1,median
cg16248329,1,median
cg16257029,1,median
cg16264705,1,median
cg16269431,1,median
cg16318053,1,median
cg16334314,1,median
cg16342439,1,median
cg16361966,1,median
